ACTIVITY_ID,PAGINATION_TOKEN,PUBLISHED_DATE,AUTHOR_NAME,SUBDESCRIPTION,TITLE,TEXT,CHARACTER_COUNT,TAGS,TAGS_COUNT,EMOJIS,EMOJIS_COUNT,LINKS,LINKS_COUNT,PROFILE_MENTION,COMPANY_MENTION,CONTENT,CONTENT_TITLE,CONTENT_URL,CONTENT_ID,IMAGE_URL,POLL_ID,POLL_QUESTION,POLL_RESULTS,POST_URL,VIEWS,COMMENTS,LIKES,SHARES,ENGAGEMENT_SCORE,text_snip,DATE_EXTRACT
6930654414932230144,dXJuOmxpOmFjdGl2aXR5OjY5MzA2NTQ0MTQ5MzIyMzAxNDQtMTY1MjM5Njc3NzgzNA==,2022-05-12 21:06:17+00:00,Megan Lieu,4 days ago,"If you’re ok with always feeling like you know nothing, then you know you’ll make a good data professional 👍","If you’re ok with always feeling like you know nothing, then you know you’ll make a good data professional 👍

But if you’re actually EXCITED about all the things you don’t know, well that’s how you know you’ll make a great one 🙌

…so by these definitions I’m a mediocre-almost-good data person because knowing nothing scares me a lot most days, and that’s ok 😌


#data
#careers
#datascience",381,#data #careers #datascience,3.0,"👍, 🙌, 😌",3.0,,0.0,,,Text,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6930654414932230144,14928,53,170,0,0.0149,If you’re ok with always ,2022-05-17 02:17:49
6930298749059481600,dXJuOmxpOmFjdGl2aXR5OjY5MzAyOTg3NDkwNTk0ODE2MDAtMTY1MjMxMTk4MDQ2MA==,2022-05-11 21:33:00+00:00,Megan Lieu,5 days ago,The SCARIEST moment of my career happened recently,"The SCARIEST moment of my career happened recently

When I had to live code in front of our client’s VPs of engineering (who have been at the company for longer than I’ve been alive) as they demanded SQL queries on the fly 😖

I only messed up like 3 times, but I did NOT die from humiliation. Who knows, maybe one day I’ll be brave enough to do that again 🥲


#coding
#SQL
#engineering",376,#coding #SQL #engineering,3.0,"😖, 🥲",2.0,,0.0,,,Text,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6930298749059481600,68577,77,596,0,0.0098,The SCARIEST moment of my,2022-05-17 02:17:49
6929781561282215936,dXJuOmxpOmFjdGl2aXR5OjY5Mjk3ODE1NjEyODIyMTU5MzYtMTY1MjE4ODY3MzMxMA==,2022-05-10 11:17:53+00:00,Megan Lieu,6 days ago,"What’s the best, most underrated way to improve your coding skills??","What’s the best, most underrated way to improve your coding skills??

✨TAKE HOME ASSIGNMENTS✨

Better than projects, courses, certifications or even on-the-job training in my opinion 😱

Most people find them annoying (and some lunatics even prefer live-coding during interviews) but I think take-homes given to you during an interview process force you to learn a lot, very quickly 📈

The questions asked and data provided are deliberately vague and messy to mimic the work you’d actually do on the job, so you’re forced to get your hands dirty in a way that structured courses don’t allow you to do 🔢

But you also have the added pressure of a deadline, which means you can’t spin your wheels for too long like you would on a longer-term project you do for a company or for yourself ⏱

Lastly, unlike live-coding interviews, you usually can use any resource to look up syntax and concepts, and we all know learning how to code comes from Googling/StackOverflow 🙌 

Do you prefer take-home assignments or live-coding interviews? 🤔


#coding
#interview
#learning",1042,#coding #interview #learning,3.0,"✨, ✨, 😱, 📈, 🔢, ⏱, 🙌, 🤔",8.0,,0.0,,,Text,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6929781561282215936,16347,43,98,0,0.0086,"What’s the best, most und",2022-05-17 02:17:49
6927968947464015872,dXJuOmxpOmFjdGl2aXR5OjY5Mjc5Njg5NDc0NjQwMTU4NzItMTY1MTc1NjUxMjQ4OQ==,2022-05-05 11:15:12+00:00,Megan Lieu,1 week ago,Does anyone else ALWAYS forget to add “desc” in the ORDER BY clause of a SQL query when trying to sort a column by descending order?? Asking for a friend 🙃,"Does anyone else ALWAYS forget to add “desc” in the ORDER BY clause of a SQL query when trying to sort a column by descending order?? Asking for a friend 🙃


#SQL
#data
#coding",171,#SQL #data #coding,3.0,🙃,1.0,,0.0,,,Text,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6927968947464015872,26661,104,198,0,0.0113,Does anyone else ALWAYS f,2022-05-17 02:17:49
6927245422541361154,dXJuOmxpOmFjdGl2aXR5OjY5MjcyNDU0MjI1NDEzNjExNTQtMTY1MTU4NDAxMDcxNw==,2022-05-03 11:20:10+00:00,Megan Lieu,1 week ago,"“Megan, what courses/certifications would you recommend to break into data analytics?”","“Megan, what courses/certifications would you recommend to break into data analytics?”

NONE. 

I get asked this question pretty often—while I think any online course is great for learning the basics, I truly believe hands-on project experience will always be superior in getting you that data role at the end of the day. 

Sure, I have the Google Data Analytics certificate and some LinkedIn badges, but do I think they were very useful at signaling my value as a potential hire? NOPE. (In fact, I actually completed the Google cert AFTER I got hired) 🙅🏻‍♀️

What DID get me hired was one fateful #PowerBI project I did while still working as a financial analyst, and being able to speak about the QUANTIFIABLE IMPACT of that project by communicating it in STAR format 🌟

But if you haven’t been able to do actual data analytics projects in your current role, this is what I recommend instead of reaching for the popular data certification everyone posts about on LinkedIn:

👉 Work with data/tools you already have at your company (e.g. I used good ol’ Excel to analyze financial data at my old job)
👉 Find projects on Kaggle (e.g. I started with the trusty Titanic dataset)
👉 Analyze personal data (e.g. I visualized powerlifting competition stats)
👉 Research a topic you’re interested in (e.g. I scraped and analyzed Zillow home price data)

Then, shoutout your DIY data project here on LinkedIn, GitHub or Tableau Public, and voila, a much better way of showing off that you can not only learn, but do as well 👏


#data
#analytics
#dataanalytics",1527,#PowerBI #data #analytics #dataanalytics,4.0,"🙅🏻‍♀️, 🌟, 👉, 👉, 👉, 👉, 👏",7.0,,0.0,,,Text,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6927245422541361154,105275,69,456,0,0.005,"“Megan, what courses/cert",2022-05-17 02:17:49
6925795941933350912,dXJuOmxpOmFjdGl2aXR5OjY5MjU3OTU5NDE5MzMzNTA5MTItMTY1MTIzODQyNzYxMA==,2022-04-29 11:20:27+00:00,Megan Lieu,2 weeks ago,LinkedIn sneaking in an extra month to the length of our experiences is their small way of saying to our careers “I gotchu fam” 😉,"LinkedIn sneaking in an extra month to the length of our experiences is their small way of saying to our careers “I gotchu fam” 😉



#careers
#personalbranding
#linkedin",163,#careers #personalbranding #linkedin,3.0,😉,1.0,,0.0,,linkedin,Text,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6925795941933350912,8303,15,53,0,0.0082,LinkedIn sneaking in an e,2022-05-17 02:17:49
6925070618019205120,dXJuOmxpOmFjdGl2aXR5OjY5MjUwNzA2MTgwMTkyMDUxMjAtMTY1MTA2NTQ5NjkxMg==,2022-04-27 11:18:16+00:00,Megan Lieu,2 weeks ago,Me: *Starts sharing screen*,"Me: *Starts sharing screen*

*Immediately forgets what a SQL is*


#sql 
#coding
#datascience",86,#sql #coding #datascience,3.0,,0.0,,0.0,,,Image,,,,https://media-exp1.licdn.com/dms/image/C5622AQHHaCHUFFGXWQ/feedshare-shrink_2048_1536/0/1651065496223?e=1655942400&v=beta&t=2PqV57aAJ0xNTTBQiAs-YCRo0VFbh7S71cqucQIPpU0,,,,https://www.linkedin.com/feed/update/urn:li:activity:6925070618019205120,14226,55,345,0,0.0281,Me: *Starts sharing scree,2022-05-17 02:17:49
6924707648583991296,dXJuOmxpOmFjdGl2aXR5OjY5MjQ3MDc2NDg1ODM5OTEyOTYtMTY1MDk3ODk1ODI1Mg==,2022-04-26 11:15:58+00:00,Megan Lieu,2 weeks ago,I broke 10k followers on here last week! 🎉,"I broke 10k followers on here last week! 🎉

But does that mean I’m any smarter or worthier of a person just because that metric has surpassed some arbitrary number? Nope 👎 

Does that mean I’ve obtained some higher level of authority or competence in my field just because I’ve reached that 5-digit mark? Also nope 🙅🏻‍♀️

Social media is such a powerful tool (like seriously, I love it) but never forget that it’s also all about perception 😵‍💫

Based on the vanity metrics of followers, reactions, comments, it could seem like I know so much about the tools and concepts I post about, but I’m honestly barely scratching the surface of all the things I hope to learn in my field one day 🤩

Along the way, I’m just writing about the things I find frustrating or confusing or funny, and as more and more people have been relating to it, I’ve just continued rolling with it! ✍️

I’m still the same Megan I was before the “following,” just even more grateful for the support these days 🙏


#contentstrategy
#personalbranding
#careers",1011,#contentstrategy #personalbranding #careers,3.0,"🎉, 👎, 🙅🏻‍♀️, 😵‍💫, 🤩, ✍️, 🙏",7.0,,0.0,,,Text,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6924707648583991296,11495,27,101,0,0.0111,I broke 10k followers on ,2022-05-17 02:17:49
6922900579081994240,dXJuOmxpOmFjdGl2aXR5OjY5MjI5MDA1NzkwODE5OTQyNDAtMTY1MDU0ODExOTMxMg==,2022-04-21 11:35:19+00:00,Megan Lieu,3 weeks ago,"Me at 9 PM last night: “I’m just a girl staring at the same R code for the last 8 hours straight, asking it to be Python or SQL instead”","Me at 9 PM last night: “I’m just a girl staring at the same R code for the last 8 hours straight, asking it to be Python or SQL instead”

This is not a post knocking R at all, it is one knocking my own coding abilities. I post plenty about Python and SQL, but never about R because honestly, I stink at it. 

I’ve been working on a project where all of the analyses are done in R, and all the team members are R-pro’s except me. This engagement was expected to be a fast turnaround, but it was slowed down because of me. There were so many times when I was completely stumped by the simplest ask because I just didn’t know how to code it 

I’d spend so long just looking up the documentation to even know where to begin, and would feel like such a burden for every one of the stupid questions I’d ask my Director, or even the Associates “under” me–“I’m not sure why this isn’t working…”

And in all of those moments, I felt like the team’s crutch, an imposter, a complete failure, you name it.

BUT, a year ago, I felt the same exact way about picking up Python and SQL. Overcoming those feelings didn’t take a week or even a month–heck I still feel that way at least once a week now. I never stopped back then, and I sure as heck am not stopping now.

Post inspired by Alex Nguyen’s latest one about failure, so give him a follow if you’ve enjoyed posts like mine!


#sql 
#python 
#R",1368,#sql #python,2.0,,0.0,,0.0,Alex Nguyen,[],Text,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6922900579081994240,36956,44,277,0,0.0087,Me at 9 PM last night: “I,2022-05-17 02:17:49
6922171907584774144,dXJuOmxpOmFjdGl2aXR5OjY5MjIxNzE5MDc1ODQ3NzQxNDQtMTY1MDM3NDM5MDQ5MA==,2022-04-19 11:19:50+00:00,Megan Lieu,3 weeks ago,"A career in data is constantly switching between thoughts of “Nice, I didn’t have to google that” and “Google is my best friend!!” until you retire.","A career in data is constantly switching between thoughts of “Nice, I didn’t have to google that” and “Google is my best friend!!” until you retire.


#googlingisaskill
#data 
#anaytics",180,#googlingisaskill #data #anaytics,3.0,,0.0,,0.0,,,Text,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6922171907584774144,21032,41,256,0,0.0141,A career in data is const,2022-05-17 02:17:49
