PUBLISHED_DATE,SUBDESCRIPTION,TITLE,TEXT,CHARACTER_COUNT,TAGS,TAGS_COUNT,EMOJIS,EMOJIS_COUNT,VIEWS,COMMENTS,LIKES,SHARES,ENGAGEMENT_SCORE,text_snip
2022-05-12 21:06:17+00:00,4 days ago,"If you’re ok with always feeling like you know nothing, then you know you’ll make a good data professional 👍","If you’re ok with always feeling like you know nothing, then you know you’ll make a good data professional 👍

But if you’re actually EXCITED about all the things you don’t know, well that’s how you know you’ll make a great one 🙌

…so by these definitions I’m a mediocre-almost-good data person because knowing nothing scares me a lot most days, and that’s ok 😌


#data
#careers
#datascience",381,#data #careers #datascience,3.0,"👍, 🙌, 😌",3.0,14928,53,170,0,0.0149,If you’re ok with always 
2022-05-11 21:33:00+00:00,5 days ago,The SCARIEST moment of my career happened recently,"The SCARIEST moment of my career happened recently

When I had to live code in front of our client’s VPs of engineering (who have been at the company for longer than I’ve been alive) as they demanded SQL queries on the fly 😖

I only messed up like 3 times, but I did NOT die from humiliation. Who knows, maybe one day I’ll be brave enough to do that again 🥲


#coding
#SQL
#engineering",376,#coding #SQL #engineering,3.0,"😖, 🥲",2.0,68577,77,596,0,0.0098,The SCARIEST moment of my
2022-05-10 11:17:53+00:00,6 days ago,"What’s the best, most underrated way to improve your coding skills??","What’s the best, most underrated way to improve your coding skills??

✨TAKE HOME ASSIGNMENTS✨

Better than projects, courses, certifications or even on-the-job training in my opinion 😱

Most people find them annoying (and some lunatics even prefer live-coding during interviews) but I think take-homes given to you during an interview process force you to learn a lot, very quickly 📈

The questions asked and data provided are deliberately vague and messy to mimic the work you’d actually do on the job, so you’re forced to get your hands dirty in a way that structured courses don’t allow you to do 🔢

But you also have the added pressure of a deadline, which means you can’t spin your wheels for too long like you would on a longer-term project you do for a company or for yourself ⏱

Lastly, unlike live-coding interviews, you usually can use any resource to look up syntax and concepts, and we all know learning how to code comes from Googling/StackOverflow 🙌 

Do you prefer take-home assignments or live-coding interviews? 🤔


#coding
#interview
#learning",1042,#coding #interview #learning,3.0,"✨, ✨, 😱, 📈, 🔢, ⏱, 🙌, 🤔",8.0,16347,43,98,0,0.0086,"What’s the best, most und"
2022-05-05 11:15:12+00:00,1 week ago,Does anyone else ALWAYS forget to add “desc” in the ORDER BY clause of a SQL query when trying to sort a column by descending order?? Asking for a friend 🙃,"Does anyone else ALWAYS forget to add “desc” in the ORDER BY clause of a SQL query when trying to sort a column by descending order?? Asking for a friend 🙃


#SQL
#data
#coding",171,#SQL #data #coding,3.0,🙃,1.0,26661,104,198,0,0.0113,Does anyone else ALWAYS f
2022-05-03 11:20:10+00:00,1 week ago,"“Megan, what courses/certifications would you recommend to break into data analytics?”","“Megan, what courses/certifications would you recommend to break into data analytics?”

NONE. 

I get asked this question pretty often—while I think any online course is great for learning the basics, I truly believe hands-on project experience will always be superior in getting you that data role at the end of the day. 

Sure, I have the Google Data Analytics certificate and some LinkedIn badges, but do I think they were very useful at signaling my value as a potential hire? NOPE. (In fact, I actually completed the Google cert AFTER I got hired) 🙅🏻‍♀️

What DID get me hired was one fateful #PowerBI project I did while still working as a financial analyst, and being able to speak about the QUANTIFIABLE IMPACT of that project by communicating it in STAR format 🌟

But if you haven’t been able to do actual data analytics projects in your current role, this is what I recommend instead of reaching for the popular data certification everyone posts about on LinkedIn:

👉 Work with data/tools you already have at your company (e.g. I used good ol’ Excel to analyze financial data at my old job)
👉 Find projects on Kaggle (e.g. I started with the trusty Titanic dataset)
👉 Analyze personal data (e.g. I visualized powerlifting competition stats)
👉 Research a topic you’re interested in (e.g. I scraped and analyzed Zillow home price data)

Then, shoutout your DIY data project here on LinkedIn, GitHub or Tableau Public, and voila, a much better way of showing off that you can not only learn, but do as well 👏


#data
#analytics
#dataanalytics",1527,#PowerBI #data #analytics #dataanalytics,4.0,"🙅🏻‍♀️, 🌟, 👉, 👉, 👉, 👉, 👏",7.0,105275,69,456,0,0.005,"“Megan, what courses/cert"
2022-04-29 11:20:27+00:00,2 weeks ago,LinkedIn sneaking in an extra month to the length of our experiences is their small way of saying to our careers “I gotchu fam” 😉,"LinkedIn sneaking in an extra month to the length of our experiences is their small way of saying to our careers “I gotchu fam” 😉



#careers
#personalbranding
#linkedin",163,#careers #personalbranding #linkedin,3.0,😉,1.0,8303,15,53,0,0.0082,LinkedIn sneaking in an e
2022-04-27 11:18:16+00:00,2 weeks ago,Me: *Starts sharing screen*,"Me: *Starts sharing screen*

*Immediately forgets what a SQL is*


#sql 
#coding
#datascience",86,#sql #coding #datascience,3.0,,0.0,14226,55,345,0,0.0281,Me: *Starts sharing scree
2022-04-26 11:15:58+00:00,2 weeks ago,I broke 10k followers on here last week! 🎉,"I broke 10k followers on here last week! 🎉

But does that mean I’m any smarter or worthier of a person just because that metric has surpassed some arbitrary number? Nope 👎 

Does that mean I’ve obtained some higher level of authority or competence in my field just because I’ve reached that 5-digit mark? Also nope 🙅🏻‍♀️

Social media is such a powerful tool (like seriously, I love it) but never forget that it’s also all about perception 😵‍💫

Based on the vanity metrics of followers, reactions, comments, it could seem like I know so much about the tools and concepts I post about, but I’m honestly barely scratching the surface of all the things I hope to learn in my field one day 🤩

Along the way, I’m just writing about the things I find frustrating or confusing or funny, and as more and more people have been relating to it, I’ve just continued rolling with it! ✍️

I’m still the same Megan I was before the “following,” just even more grateful for the support these days 🙏


#contentstrategy
#personalbranding
#careers",1011,#contentstrategy #personalbranding #careers,3.0,"🎉, 👎, 🙅🏻‍♀️, 😵‍💫, 🤩, ✍️, 🙏",7.0,11495,27,101,0,0.0111,I broke 10k followers on 
2022-04-21 11:35:19+00:00,3 weeks ago,"Me at 9 PM last night: “I’m just a girl staring at the same R code for the last 8 hours straight, asking it to be Python or SQL instead”","Me at 9 PM last night: “I’m just a girl staring at the same R code for the last 8 hours straight, asking it to be Python or SQL instead”

This is not a post knocking R at all, it is one knocking my own coding abilities. I post plenty about Python and SQL, but never about R because honestly, I stink at it. 

I’ve been working on a project where all of the analyses are done in R, and all the team members are R-pro’s except me. This engagement was expected to be a fast turnaround, but it was slowed down because of me. There were so many times when I was completely stumped by the simplest ask because I just didn’t know how to code it 

I’d spend so long just looking up the documentation to even know where to begin, and would feel like such a burden for every one of the stupid questions I’d ask my Director, or even the Associates “under” me–“I’m not sure why this isn’t working…”

And in all of those moments, I felt like the team’s crutch, an imposter, a complete failure, you name it.

BUT, a year ago, I felt the same exact way about picking up Python and SQL. Overcoming those feelings didn’t take a week or even a month–heck I still feel that way at least once a week now. I never stopped back then, and I sure as heck am not stopping now.

Post inspired by Alex Nguyen’s latest one about failure, so give him a follow if you’ve enjoyed posts like mine!


#sql 
#python 
#R",1368,#sql #python,2.0,,0.0,36956,44,277,0,0.0087,Me at 9 PM last night: “I
2022-04-19 11:19:50+00:00,3 weeks ago,"A career in data is constantly switching between thoughts of “Nice, I didn’t have to google that” and “Google is my best friend!!” until you retire.","A career in data is constantly switching between thoughts of “Nice, I didn’t have to google that” and “Google is my best friend!!” until you retire.


#googlingisaskill
#data 
#anaytics",180,#googlingisaskill #data #anaytics,3.0,,0.0,21032,41,256,0,0.0141,A career in data is const
2022-04-14 11:21:25+00:00,1 month ago,How to instantly look like you know what you’re doing when coding:,"How to instantly look like you know what you’re doing when coding:

Switch to dark mode 😎


#coding
#programming
#python",113,#coding #programming #python,3.0,😎,1.0,42629,104,289,0,0.0092,How to instantly look lik
2022-04-12 11:17:53+00:00,1 month ago,"Sometimes I code in Python, R and SQL all in the same day, and now I can start to empathize with people who have to converse and think in different languages everyday 😳","Sometimes I code in Python, R and SQL all in the same day, and now I can start to empathize with people who have to converse and think in different languages everyday 😳


#coding
#python
#sql",186,#coding #python #sql,3.0,😳,1.0,149900,106,1474,0,0.0105,Sometimes I code in Pytho
2022-04-07 11:17:17+00:00,1 month ago,Me: *Loves getting her hands dirty with messy data*,"Me: *Loves getting her hands dirty with messy data*

Also me: *Hates actually getting her hands dirty with anything physically messy in real life*


#data
#analytics
#careers",167,#data #analytics #careers,3.0,,0.0,25462,29,186,0,0.0084,Me: *Loves getting her ha
2022-04-05 11:13:45+00:00,1 month ago,How did I get 5.6m views and 48k reactions on my last post??,"How did I get 5.6m views and 48k reactions on my last post??

(Seriously LinkedIn algorithm, please answer for yourself because I really need to know how)

At the end of 2021, I had one 🚀 post that made me actually want to give this “consistent posting” thing a try (or as some people liked to poke fun as “LinkedIn influencing”, “selling out”, etc.).

Since then, I’ve been sharing posts about my journey into data–both its ups and its downs–because that’s just the content I love seeing on my own feed.

I’ve had some posts perform really well, others really badly, and then one that somehow ended up getting more impressions than all of my previous posts COMBINED (still in shock 😭)

But while it’s really cool watching the vanity metrics go up 📈 there has to be something that keeps you going when you post, only get <20 pity likes and a bruised ego 📉 (my deepest thanks to the pity-likers, they are the real ones).

For me, I’ve realized that thing that keeps me going is meeting like-minded folks who are as passionate about this field as I am, and building genuine relationships with them.

To all the people who have supported me through my more “popular” posts, but have also tolerated me through my lamer ones, thank you 🙏 


#contentstrategy
#personalbranding
#networking",1263,#contentstrategy #personalbranding #networking,3.0,"🚀, 😭, 📈, 📉, 🙏",5.0,62383,96,494,0,0.0095,How did I get 5.6m views 
2022-03-29 11:17:08+00:00,1 month ago,Slowly overcoming imposter syndrome has looked like this for me:,"Slowly overcoming imposter syndrome has looked like this for me:

My manager:

Sharing their screen while live coding, gets stuck on how to write the next line, and kind of expects that I’ll contribute some ideas...


Me when I first started (thought I knew nothing so I didn’t want to embarrass myself):

*crickets* 😶


Me after I started getting my bearings (heart racing from nervousness, but now willing to take a stab at it):

“Would it be XYZ…?” 🤷🏻‍♀️


Me a few months ago (finally using statements instead of questions):

“I think it’s XYZ.” 🤔


Me today (probably only 70% sure, but at least now willing to firmly stand by the answers I give): 

“It should be XYZ.” 😎


I firmly believe that imposter syndrome is not something that goes away fully in mere months or even years, but sometimes it’s the little things like these that show you you’re heading in the right direction.


#impostersyndrome
#careers
#analytics",895,#impostersyndrome #careers #analytics,3.0,"😶, 🤷🏻‍♀️, 🤔, 😎",4.0,45595,28,293,0,0.007,Slowly overcoming imposte
2022-03-24 12:22:58+00:00,1 month ago,I once had a recruiting experience SO bad that I honestly wish the recruiter would have ghosted me instead…,"I once had a recruiting experience SO bad that I honestly wish the recruiter would have ghosted me instead…

Said recruiter never sent me emails during regular business hours—he probably only ever emailed me once before 10 PM. He also FORGOT to schedule my final round interviews and didn’t do so until the hiring manager stepped in. But I brushed aside every single warning sign because I was so excited and grateful for the opportunity

A week after a final round interview with the company, the recruiter emailed me saying “I had the chance to catch up with the team and I have an update for you! Are you free to chat between 5-6 PM tomorrow? I hope to hear from you soon!” (exact words and punctuation)

The day of, he confirmed he’ll give me a call. Buzzing with excitement based on the language and how eager he was to catch me, I eagerly waited by my phone at the suggested time with my heart pounding…

Only to be ghosted and receive no response to any follow-up emails until 11 pm that night. Apologetic, he asked to reschedule and I proposed to meet at the same time the next day.

No response to my suggested time all day until the time comes and goes, so I sent yet another follow-up email. He finally responds, saying he’ll call me in an hour. 

Again, I assumed based on his eagerness to talk with me over the phone that it’s an offer–he could just send me an email, or even ghost me, if it was a no, right?

Two and a half hours passed, I finally received his call and felt like I could breathe for the first time in 3 days

“The team absolutely loved your presentation, but unfortunately…”

Shocked and confused as to why this wasn’t an email (even just an auto-generated one!) instead of stringing me along for 3 days, I vowed to never be that presumptuous again when it comes to something as unpredictable as the job search. Never assume you have an offer until you have it in writing.

But I also vowed to never ignore red flags in an interview process again. I had written off all of my previous apprehensions as “people get busy” when I should have seen the warning signs as a lack of consideration for candidates’ time.


#interview
#jobsearch
#recruiting",2152,#interview #jobsearch #recruiting,3.0,,0.0,40732,29,138,0,0.0041,I once had a recruiting e
2022-03-22 12:12:42+00:00,1 month ago,"The coolest thing about coding is that no matter how simple, crazy, complex or random of a thing you want to build, SOMEONE out there has created a package or function to help you do it","The coolest thing about coding is that no matter how simple, crazy, complex or random of a thing you want to build, SOMEONE out there has created a package or function to help you do it

No matter how big, small, specific, or seemingly-stupid your question, SOMEONE out there has asked it on StackOverflow or somewhere else on the internet before

It’s a very humbling thought, that there’s an infinite amount of much smarter people out there paving the way and doing things with code that I could never even dream of or comprehend 😵‍💫

But it’s also a comforting and inspiring realization, that they all started by asking the same basic questions I ask the internet everyday about syntax, data structures, environment setup, etc., and I’m never really alone in this learning journey 🙏


#data
#coding
#python",798,#data #coding #python,3.0,"😵‍💫, 🙏",2.0,19377,36,133,0,0.0087,The coolest thing about c
2022-03-17 12:19:33+00:00,2 months ago,How I made the transition to a data role with a non-target degree and 0 prior experience:,"How I made the transition to a data role with a non-target degree and 0 prior experience:



First and foremost ✨PROJECT EXPERIENCE✨

I had done just one somewhat relevant project before using Power BI in my previous role, so best believe I milked it. Namely, I used the STAR format and specifically communicated the BUSINESS IMPACT it achieved, and highlighted the specific process and tools used to accomplish it.


Second: ✨NETWORKING✨

I connected with someone from the team I was targeting, and fostered a genuine relationship with him with 0 expectations of any referral. I spent so much time talking to folks in the industry just learning about what even is a role in data analytics, and along the way received a few referrals that happened to pan out. 


Lastly, demonstrating ✨TRANSFERABLE SKILLS✨

Even if you don’t have the specific technical skills recommended, chances are you can pick out at least a few transferable ones that can bridge the gap to the skills the role is looking for. I highlighted the quantitative and storytelling skills I used in my role as a financial analyst in my interviews, and spun them to apply to the the context of this role.


Bonus factor: a little bit of ✨LUCK✨

Part of me still thinks I got here by just being in the right place at the right time. So for those who are still trying to make the transition and doing all of the above, keep at it because your one yes WILL come 💯


#career
#data
#analytics",1425,#career #data #analytics,3.0,"✨, ✨, ✨, ✨, ✨, ✨, ✨, ✨, 💯",9.0,9506,18,111,0,0.0136,How I made the transition
2022-03-15 12:28:27+00:00,2 months ago,"I don’t always live life on the edge but sometimes, once in a blue moon, when I’m feeling REALLY bold…","I don’t always live life on the edge but sometimes, once in a blue moon, when I’m feeling REALLY bold…

I’ll write code without any help from StackOverflow on my first try, and then I just run it and pray.

8.5 times out of 10 my notebook will laugh at my cockiness and give me an error

But MAN what a rush it is in the split seconds between hitting Run and getting my output 🤩


#coding
#programming
#Python",398,#coding #programming #Python,3.0,🤩,1.0,6017,6,64,0,0.0116,I don’t always live life 
2022-03-09 13:25:54+00:00,2 months ago,"Celebrated another year around the sun this past weekend, and reflected on what an amazing past year it’s been 🎉","Celebrated another year around the sun this past weekend, and reflected on what an amazing past year it’s been 🎉

This was the year I found a career I love, and in the process, also a whole new Megan. To all the people who have connected with me and supported me along the way, thank you ❤️


#career
#thankyou 
#analytics",315,#career #thankyou #analytics,3.0,"🎉, ❤️",2.0,14005,46,212,0,0.0184,Celebrated another year a
2022-03-03 13:23:48+00:00,2 months ago,7️⃣ months of progress looks like this for an early-career data analytics professional:,"7️⃣ months of progress looks like this for an early-career data analytics professional:

New tools and concepts that used to take me months to grasp now take me weeks to pick up 🔨

Code that used to take me weeks to write now takes me days 🔢

Dashboards that used to take me days to create now take me hours 📊

Errors that used to take me hours to debug now take me minutes 🧐

Queries that used to take me minutes to figure out now take me seconds 🔎

But for every 7 months of progress accomplished in an early data career, I know there’s a lifetime of learning still to come 🙏


#data
#analytics
#dataanalytics",594,#data #analytics #dataanalytics,3.0,"🔨, 🔢, 📊, 🧐, 🔎, 🙏",6.0,14836,20,217,0,0.016,7️⃣ months of progress lo
2022-03-01 13:17:25+00:00,2 months ago,How to make 5 week days feel like 1:,"How to make 5 week days feel like 1:

1. Have a deadline at the end of your week

2. Tell yourself that you have plenty of time and that you’ll space out the preparation evenly throughout the week

3. End up procrastinating anyway and next thing you know it’s already Friday!

Works like a charm every single week 👌


#productivity
#timemanagement
#careeradvice",348,#productivity #timemanagement #careeradvice,3.0,👌,1.0,3570,11,32,0,0.012,How to make 5 week days f
